章节,章节名称,单词,音标(美式音标),词性,中文意思
,,boy,/bɔɪ/,n.,男孩
,,girl,/ɡɜːrl/,n.,女孩
Lesson 123,A trip to Australia 澳大利亚之行,trip,/trɪp/,n.,旅行
,,offer,/ˈɔːfər/,v.,提供
,,job,/dʒɑːb/,n.,工作
,,guess,/ɡes/,v.,猜
,,grow,/ɡroʊ/,v.,长，让……生长
,,beard,/bɪrd/,n.,(下巴上的)胡子，络腮胡子
,,water,/ˈwɔːtər/,v.,浇水
,,terribly,/ˈterəbli/,adv.,非常
,,dry,/draɪ/,adj.,干燥的，干的
,,nuisance,/ˈnuːsns/,n.,讨厌的东西或人
Lesson 124,Who (whom), which and that 关系代词,mean,/miːn/,v.,意味着，意思是
,,surprise,/sərˈpraɪz/,n.,惊奇，意外的事
,,immediately,/ɪˈmiːdiətli/,adv.,立即
,,famous,/ˈfeɪməs/,adj.,著名的
,,actress,/ˈæktrəs/,n.,女演员
,,at least,/æt liːst/,phrase,至少
,,actor,/ˈæktər/,n.,男演员
,,read,/riːd/,v.,读
,,write,/raɪt/,v.,写
Lesson 125,Tea for two 两个人一起喝茶,water,/ˈwɔːtər/,v.,浇水
,,terribly,/ˈterəbli/,adv.,非常
,,dry,/draɪ/,adj.,干燥的，干的
,,nuisance,/ˈnuːsns/,n.,讨厌的东西或人
,,mean,/miːn/,v.,意味着，意思是
,,surprise,/sərˈpraɪz/,n.,惊奇，意外的事
,,immediately,/ɪˈmiːdiətli/,adv.,立即
,,famous,/ˈfeɪməs/,adj.,著名的
,,actress,/ˈæktrəs/,n.,女演员
,,at least,/æt liːst/,phrase,至少
Lesson 126,Have to and do not need to 不得不和不必,actor,/ˈæktər/,n.,男演员
,,read,/riːd/,v.,读
,,write,/raɪt/,v.,写
,,have to,/hæv tuː/,phrase,不得不
,,need,/niːd/,v.,需要
,,must,/mʌst/,modal verb,必须
,,should,/ʃʊd/,modal verb,应该
,,can,/kæn/,modal verb,能够
,,cannot,/ˈkænɑːt/,modal verb,不能
Lesson 127,A famous actress 著名的女演员,famous,/ˈfeɪməs/,adj.,著名的
,,actress,/ˈæktrəs/,n.,女演员
,,at least,/æt liːst/,phrase,至少
,,actor,/ˈæktər/,n.,男演员
,,read,/riːd/,v.,读
,,write,/raɪt/,v.,写
,,have to,/hæv tuː/,phrase,不得不
,,need,/niːd/,v.,需要
,,must,/mʌst/,modal verb,必须
,,should,/ʃʊd/,modal verb,应该
Lesson 128,He can't be... 他不可能……,can,/kæn/,modal verb,能够
,,cannot,/ˈkænɑːt/,modal verb,不能
,,must,/mʌst/,modal verb,必须
,,be,/biː/,v.,是
,,old,/oʊld/,adj.,老的
,,young,/jʌŋ/,adj.,年轻的
,,tall,/tɔːl/,adj.,高的
,,short,/ʃɔːrt/,adj.,矮的
,,fat,/fæt/,adj.,胖的
,,thin,/θɪn/,adj.,瘦的
Lesson 129,Seventy miles an hour 时速70英里,wave,/weɪv/,v.,招手
,,track,/træk/,n.,跑道
,,mile,/maɪl/,n.,英里
,,overtake,/ˌoʊvərˈteɪk/,v.,从后面超越，超车
,,speed limit,/spiːd ˈlɪmɪt/,phrase,限速
,,dream,/driːm/,v.,做梦，思想不集中
,,sign,/saɪn/,n.,标记，牌子
,,driving licence,/ˈdraɪvɪŋ ˈlaɪsns/,phrase,驾驶执照
,,charge,/tʃɑːrdʒ/,v.,罚款
,,darling,/ˈdɑːrlɪŋ/,n.,亲爱的(用作表示称呼)
Lesson 130,He can't have been... 他那时不可能……,wave,/weɪv/,v.,招手
,,track,/træk/,n.,跑道
,,mile,/maɪl/,n.,英里
,,overtake,/ˌoʊvərˈteɪk/,v.,从后面超越，超车
,,speed limit,/spiːd ˈlɪmɪt/,phrase,限速
,,dream,/driːm/,v.,做梦，思想不集中
,,sign,/saɪn/,n.,标记，牌子
,,driving licence,/ˈdraɪvɪŋ ˈlaɪsns/,phrase,驾驶执照
,,charge,/tʃɑːrdʒ/,v.,罚款
,,darling,/ˈdɑːrlɪŋ/,n.,亲爱的(用作表示称呼)
Lesson 131,Don't be so sure! 别那么肯定！,Egypt,/ˈiːdʒɪpt/,n.,埃及
,,abroad,/əˈbrɔːd/,adv.,国外
,,worry,/ˈwɜːri/,v.,担忧
,,go abroad,/ɡoʊ əˈbrɔːd/,phrase,出国
,,make up one's mind,/meɪk ʌp wʌnz maɪnd/,phrase,打定主意
,,look after,/lʊk ˈæftər/,phrase,照看，照料
,,Italy,/ˈɪtəli/,n.,意大利
,,Greece,/ɡriːs/,n.,希腊
,,France,/fræns/,n.,法国
,,Spain,/speɪn/,n.,西班牙
Lesson 132,He may be... 他可能是……,may,/meɪ/,modal verb,可能
,,might,/maɪt/,modal verb,可能
,,be,/biː/,v.,是
,,old,/oʊld/,adj.,老的
,,young,/jʌŋ/,adj.,年轻的
,,tall,/tɔːl/,adj.,高的
,,short,/ʃɔːrt/,adj.,矮的
,,fat,/fæt/,adj.,胖的
,,thin,/θɪn/,adj.,瘦的
Lesson 133,Sensational news! 爆炸性新闻！,reporter,/rɪˈpɔːrtər/,n.,记者
,,sensational,/senˈseɪʃənl/,adj.,爆炸性的，耸人听闻的
,,mink coat,/mɪŋk koʊt/,phrase,貂皮大衣
,,future,/ˈfjuːtʃər/,n.,未来的
,,get married,/ɡet ˈmærid/,phrase,结婚
,,hotel,/hoʊˈtel/,n.,饭店
,,latest,/ˈleɪtɪst/,adj.,最新的
,,introduce,/ˌɪntrəˈduːs/,v.,介绍
,,football,/ˈfʊtbɔːl/,n.,足球
,,pool,/puːl/,n.,赌注
Lesson 134,He may have been... 他那时可能是……,win,/wɪn/,v.,赢
,,world,/wɜːrld/,n.,世界
,,poor,/pʊr/,adj.,贫穷的
,,depend,/dɪˈpend/,v.,依靠
,,extra,/ˈekstrə/,adj.,额外的
,,engineer,/ˌendʒɪˈnɪr/,n.,工程师
,,overseas,/ˌoʊvərˈsiːz/,adj.,海外的，国外的
,,engineering,/ˌendʒɪˈnɪrɪŋ/,n.,工程
,,company,/ˈkʌmpəni/,n.,公司
,,line,/laɪn/,n.,线路
Lesson 135,The latest report 最新消息,exciting,/ɪkˈsaɪtɪŋ/,adj.,令人兴奋的
,,get married,/ɡet ˈmærid/,phrase,结婚
,,retire,/rɪˈtaɪər/,v.,退休
,,celebrate,/ˈselɪbreɪt/,v.,庆祝
,,new,/nuː/,adj.,新的
,,neighbour,/ˈneɪbər/,n.,邻居
,,move,/muːv/,v.,搬家
,,miss,/mɪs/,v.,想念
,,person,/ˈpɜːrsn/,n.,人
,,people,/ˈpiːpl/,n.,人们
Lesson 136,If... 如果……,if,/ɪf/,conj.,如果
,,will,/wɪl/,modal verb,将要
,,go,/ɡoʊ/,v.,去
,,come,/kʌm/,v.,来
,,stay,/steɪ/,v.,停留
,,leave,/liːv/,v.,离开
,,arrive,/əˈraɪv/,v.,到达
,,see,/siː/,v.,看见
,,hear,/hɪr/,v.,听见
,,know,/noʊ/,v.,知道
Lesson 137,A pleasant dream 美好的梦,football,/ˈfʊtbɔːl/,n.,足球
,,pool,/puːl/,n.,赌注
,,win,/wɪn/,v.,赢
,,world,/wɜːrld/,n.,世界
,,poor,/pʊr/,adj.,贫穷的
,,depend,/dɪˈpend/,v.,依靠
,,extra,/ˈekstrə/,adj.,额外的
,,engineer,/ˌendʒɪˈnɪr/,n.,工程师
,,overseas,/ˌoʊvərˈsiːz/,adj.,海外的，国外的
,,engineering,/ˌendʒɪˈnɪrɪŋ/,n.,工程
Lesson 138,If... 如果……,company,/ˈkʌmpəni/,n.,公司
,,line,/laɪn/,n.,线路
,,exciting,/ɪkˈsaɪtɪŋ/,adj.,令人兴奋的
,,get married,/ɡet ˈmærid/,phrase,结婚
,,retire,/rɪˈtaɪər/,v.,退休
,,celebrate,/ˈselɪbreɪt/,v.,庆祝
,,new,/nuː/,adj.,新的
,,neighbour,/ˈneɪbər/,n.,邻居
,,move,/muːv/,v.,搬家
,,miss,/mɪs/,v.,想念
Lesson 139,Is that all? 就这些吗？,person,/ˈpɜːrsn/,n.,人
,,people,/ˈpiːpl/,n.,人们
,,if,/ɪf/,conj.,如果
,,will,/wɪl/,modal verb,将要
,,go,/ɡoʊ/,v.,去
,,come,/kʌm/,v.,来
,,stay,/steɪ/,v.,停留
,,leave,/liːv/,v.,离开
,,arrive,/əˈraɪv/,v.,到达
,,see,/siː/,v.,看见
Lesson 140,He wants to know if/why/what/when 他想知道是否/为什么/什么/何时,hear,/hɪr/,v.,听见
,,know,/noʊ/,v.,知道
,,want,/wɑːnt/,v.,想要
,,hope,/hoʊp/,v.,希望
,,think,/θɪŋk/,v.,认为
,,believe,/bɪˈliːv/,v.,相信
,,say,/seɪ/,v.,说
,,tell,/tel/,v.,告诉
,,ask,/æsk/,v.,问
,,understand,/ˌʌndərˈstænd/,v.,明白
Lesson 141,Sally's first train ride 萨莉第一次乘火车旅行,ride,/raɪd/,n.,旅行
,,excited,/ɪkˈsaɪtɪd/,adj.,兴奋的
,,get on,/ɡet ɑːn/,phrase,登上
,,middle-aged,/ˌmɪdl eɪdʒd/,adj.,中年的
,,opposite,/ˈɑːpəzɪt/,prep.,在……对面
,,curiously,/ˈkjʊriəsli/,adv.,好奇地
,,funny,/ˈfʌni/,adj.,可笑的，滑稽的
,,powder,/ˈpaʊdər/,n.,香粉
,,compact,/ˈkɑːmpækt/,n.,带镜的化妆盒
,,kindly,/ˈkaɪndli/,adv.,和蔼地
Lesson 142,Someone invited Sally to a party 有人邀请萨莉参加一个聚会,ugly,/ˈʌɡli/,adj.,丑陋的
,,amused,/əˈmjuːzd/,adj.,有趣的
,,smile,/smaɪl/,v.,微笑
,,embarrassed,/ɪmˈbærəst/,adj.,尴尬的，窘迫的
,,worried,/ˈwɜːrid/,adj.,担心，担忧
,,regularly,/ˈreɡjələrli/,adv.,经常地，定期地
,,surround,/səˈraʊnd/,v.,包围
,,town,/taʊn/,n.,城镇
,,crowd,/kraʊd/,n.,人群
,,watch,/wɑːtʃ/,v.,观看
Lesson 143,A walk through the woods 林中散步,through,/θruː/,prep.,穿过
,,wood,/wʊd/,n.,树林
,,beauty spot,/ˈbjuːti spɑːt/,phrase,风景点
,,hundred,/ˈhʌndrəd/,num.,百
,,city,/ˈsɪti/,n.,城市
,,visitor,/ˈvɪzɪtər/,n.,参观者，游客，来访者
,,tidy,/ˈtaɪdi/,adj.,整齐的
,,litter,/ˈlɪtər/,n.,杂乱的东西
,,litter basket,/ˈlɪtər ˈbæskɪt/,phrase,废物筐
Lesson 144,He hasn't been served yet. 还没有人来招待他,place,/pleɪs/,v.,放
,,throw,/θroʊ/,v.,扔，抛
,,rubbish,/ˈrʌbɪʃ/,n.,垃圾
,,count,/kaʊnt/,v.,数，点
,,cover,/ˈkʌvər/,v.,覆盖
,,piece,/piːs/,n.,碎片
,,tyre,/ˈtaɪər/,n.,轮胎
,,rusty,/ˈrʌsti/,adj.,生锈的
,,among,/əˈmʌŋ/,prep.,在……之间
,,prosecute,/ˈprɑːsɪkjuːt/,v.,依法处置
